year,anomaly_c
1850,-0.017260973728591367
1851,0.11515958094749301
1852,0.11758396121547499
1853,0.15193059828443012
1854,0.1918851587360404
1855,0.19368701146485456
1856,-0.0013870893276450857
1857,0.00787591661996423
1858,0.10865705199569398
1859,-0.018618483656263507
1860,-0.05019287790385185
1861,-0.10345042661398018
1862,-0.05445514533317386
1863,-0.23001820127889339
1864,-0.14707164064392408
1865,-0.06714687377852613
1866,0.07346712225273677
1867,0.12023242103681575
1868,0.05072901026278309
1869,0.10266886326240865
1870,0.09983359333354436
1871,0.1454064294794506
1872,0.27402152253693224
1873,0.12344826266198794
1874,-0.05181728605212932
1875,-0.002849057642455577
1876,0.06326216628161951
1877,0.07893480947826248
1878,-0.07711264730198053
1879,-0.04951210996740407
1880,-0.09375192578834834
1881,0.0014972674056039637
1882,0.026006366881757614
1883,-0.03568356455401478
1884,-0.32984389853012175
1885,-0.25181787972125846
1886,-0.11920083827124195
1887,-0.036571119731348745
1888,-0.04289042956595068
1889,-0.10423455567631379
1890,-0.021807994443321377
1891,0.04308739650639204
1892,0.04925762012121204
1893,-0.045401129334072365
1894,-0.035755236458649975
1895,-0.005930032049654699
1896,0.08017369620753989
1897,0.020589340948914625
1898,-0.05227953801374419
1899,-0.14659996261514152
1900,-0.046734249939774486
1901,0.11978404928243158
1902,-0.026182707695285856
1903,-0.11690629376572836
1904,-0.04228008869073285
1905,-0.12361654465842697
1906,0.0038979997171946223
1907,0.04213896418641383
1908,0.015617536720489156
1909,-0.01373081090960504
1910,-0.07022380873154965
1911,0.019139674313882082
1912,-0.05750822802842315
1913,-0.1538703079626682
1914,-0.05697339751883845
1915,0.06730049391649118
1916,-0.11719595391018167
1917,-0.1341006895459529
1918,-0.1981467948631579
1919,-0.038089656951129314
1920,-4.6275563853726e-05
1921,-0.12381823425047855
1922,-0.12285820275903347
1923,-0.01725996907246241
1924,-0.03412474498342988
1925,0.019937403158365896
1926,0.1280010672953491
1927,0.0635705768267254
1928,0.008635963946561631
1929,-0.08354418523833296
1930,-0.025675926701643093
1931,0.04134418025880393
1932,0.003872140782670286
1933,-0.06150451231517984
1934,-0.01827377522782392
1935,0.0034294994522383604
1936,0.1935505462540803
1937,0.15552049997610418
1938,0.02369212168012602
1939,0.1351560836379786
1940,0.2687091705737128
1941,0.22250137484701504
1942,0.06894546344297936
1943,0.20498515124387495
1944,0.13025769259944298
1945,0.09636298906552554
1946,-0.026723341584729
1947,0.00718393974594278
1948,0.17509859799213423
1949,0.2546115591597289
1950,0.1205471737924011
1951,0.3161224838629053
1952,0.2631487962319312
1953,0.1912893758103138
1954,0.019181796726812195
1955,0.14647608271989832
1956,0.08524279993316242
1957,0.15659099795631626
1958,-0.005139643838736774
1959,0.09382945318774993
1960,0.3160422501046032
1961,0.06540357787696394
1962,-0.039365856863492255
1963,-0.1300410005493564
1964,-0.17344258576589766
1965,-0.1673118419789308
1966,-0.12608243585529522
1967,-0.0758261499623547
1968,-0.1384758170004332
1969,0.032460026630865
1970,0.13254513859921957
1971,0.0927007561927713
1972,0.01384902392835663
1973,-0.04655041119285386
1974,0.04544943821943015
1975,0.005922870885603615
1976,0.2049619732950756
1977,0.07404839243446482
1978,0.07467605125324717
1979,0.18585166030116795
1980,0.17586029128724157
1981,-0.005210403736988667
1982,0.14795083977896972
1983,0.07870952309586698
1984,0.0884319755329912
1985,0.033451230583596114
1986,0.2775206838787412
1987,0.49266958210805
1988,0.3591466838663582
1989,0.34215741364515395
1990,0.2954202030827471
1991,0.39413634492081684
1992,0.1695897568458946
1993,0.08983502491090434
1994,0.15851256296911487
1995,0.25232119711169254
1996,0.39831617286294296
1997,0.5174422488562271
1998,0.5380513602688826
1999,0.3930258149622414
2000,0.6432519588713692
2001,0.7193763923421752
2002,0.6569091941183149
2003,0.6674854839274005
2004,0.8253413089773218
2005,0.797961528196339
2006,0.8190393129190685
2007,0.860675437298136
2008,0.8576595049652358
2009,0.7098254642187367
2010,0.8701413090253478
2011,1.0001867986138482
2012,0.897479656547512
2013,0.9179513017927476
2014,1.0306447314525755
