year,co2_ppm
1850,285.20
1851,285.31
1852,285.42
1853,285.54
1854,285.65
1855,285.76
1856,285.87
1857,285.98
1858,286.10
1859,286.21
1860,286.32
1861,286.43
1862,286.54
1863,286.66
1864,286.77
1865,286.88
1866,286.99
1867,287.10
1868,287.22
1869,287.33
1870,287.44
1871,287.55
1872,287.66
1873,287.78
1874,287.89
1875,288.00
1876,288.31
1877,288.62
1878,288.94
1879,289.25
1880,289.56
1881,289.87
1882,290.18
1883,290.50
1884,290.81
1885,291.12
1886,291.43
1887,291.74
1888,292.06
1889,292.37
1890,292.68
1891,292.99
1892,293.30
1893,293.62
1894,293.93
1895,294.24
1896,294.55
1897,294.86
1898,295.18
1899,295.49
1900,295.80
1901,296.17
1902,296.54
1903,296.91
1904,297.28
1905,297.65
1906,298.02
1907,298.39
1908,298.76
1909,299.13
1910,299.50
1911,299.90
1912,300.30
1913,300.70
1914,301.10
1915,301.50
1916,301.90
1917,302.30
1918,302.70
1919,303.10
1920,303.50
1921,303.93
1922,304.36
1923,304.79
1924,305.22
1925,305.65
1926,306.08
1927,306.51
1928,306.94
1929,307.37
1930,307.80
1931,308.10
1932,308.40
1933,308.70
1934,309.00
1935,309.30
1936,309.60
1937,309.90
1938,310.20
1939,310.50
1940,310.80
1941,310.84
1942,310.88
1943,310.92
1944,310.96
1945,311.00
1946,311.04
1947,311.08
1948,311.12
1949,311.16
1950,311.20
1951,311.74
1952,312.29
1953,312.83
1954,313.37
1955,313.91
1956,314.46
1958,315.97
1959,316.91
1960,317.64
1961,318.45
1962,318.99
1963,319.68
1964,319.62
1965,320.04
1966,321.37
1967,322.18
1968,323.05
1969,324.62
1970,325.68
1971,326.32
1972,327.46
1973,329.68
1974,330.24
1975,331.13
1976,332.03
1977,333.84
1978,335.41
1979,336.84
1980,338.68
1981,340.09
1982,341.44
1983,343.03
1984,344.58
1985,346.04
1986,347.39
1987,349.16
1988,351.48
1989,352.91
1990,354.19
1991,355.59
1992,356.37
1993,357.04
1994,358.89
1995,360.88
1996,362.64
1997,363.76
1998,366.63
1999,368.31
2000,369.52
2001,371.13
2002,373.22
2003,375.77
2004,377.49
2005,379.8
2006,381.9
2007,383.76
2008,385.59
2009,387.37
2010,389.9
2011,391.63
2012,393.82
2013,396.48
2014,398.61
